Total,7635.0,550.0,8185.0,8324.0,519.0,8843.0,8313.0,492.0,8805.0,8143.0,635.0,8778.0,7720.0,537.0,8257.0
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
"Total Number of Drug Cases By Geo-Political Zones, 2010-2016",,,,,,,,,,,,,,,
ZONE,2012.0,2013.0,,2014.0,2015.0,,2016.0,,,,,,,,
NORTH-EAST,606.0,765.0,,1017.0,824.0,,1017.0,,,,,,,,
NORTH-CENTRAL,1230.0,1323.0,,1416.0,1605.0,,1494.0,,,,,,,,
NORTH-WEST,2185.0,2288.0,,2261.0,2205.0,,2353.0,,,,,,,,
SOUTH-EAST,960.0,1155.0,,1136.0,979.0,,802.0,,,,,,,,
SOUTH-SOUTH,1480.0,1371.0,,1314.0,1380.0,,1303.0,,,,,,,,
SOUTH-WEST,1591.0,1941.0,,1682.0,1785.0,,1288.0,,,,,,,,
Total,8052.0,8843.0,,8826.0,8778.0,,8257.0,,,,,,,,
